"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13","I/O","",""
"3","PC14-OSC32_IN (PC14)","I/O","RCC_OSC32_IN",""
"4","PC15-OSC32_OUT (PC15)","I/O","RCC_OSC32_OUT",""
"5","PH0-OSC_IN (PH0)","I/O","RCC_OSC_IN",""
"6","PH1-OSC_OUT (PH1)","I/O","RCC_OSC_OUT",""
"7","NRST","Reset","",""
"8","PC0","I/O","ADC1_IN1",""
"9","PC1","I/O","ADC1_IN2",""
"10","PC2","I/O","ADC1_IN3",""
"11","PC3","I/O","ADC1_IN4",""
"12","VSSA","Power","",""
"13","VDDA","Power","",""
"14","PA0","I/O","ADC2_IN5",""
"15","PA1","I/O","ADC2_IN6",""
"16","PA2","I/O","ADC2_IN7",""
"17","PA3","I/O","ADC2_IN8",""
"18","VSS","Power","",""
"19","VDD","Power","",""
"20","PA4","I/O","ADC2_IN9",""
"21","PA5","I/O","ADC2_IN10",""
"22","PA6","I/O","",""
"23","PA7","I/O","",""
"24","PC4","I/O","",""
"25","PC5","I/O","",""
"26","PB0","I/O","",""
"27","PB1","I/O","",""
"28","PB2","I/O","",""
"29","PB10","I/O","",""
"30","VCAP","Power","",""
"31","VSS","Power","",""
"32","VDD","Power","",""
"33","PB12","I/O","",""
"34","PB13","I/O","",""
"35","PB14","I/O","",""
"36","PB15","I/O","",""
"37","PC6","I/O","",""
"38","PC7","I/O","",""
"39","PC8","I/O","SDMMC1_D0",""
"40","PC9","I/O","SDMMC1_D1",""
"41","PA8","I/O","",""
"42","PA9","I/O","USB_OTG_HS_VBUS",""
"43","PA10","I/O","USART1_RX",""
"44","PA11","I/O","USB_OTG_HS_DM",""
"45","PA12","I/O","USB_OTG_HS_DP",""
"46","PA13 (JTMS/SWDIO)","I/O","DEBUG_JTMS-SWDIO",""
"47","VSS","Power","",""
"48","VDDUSB","Power","",""
"49","PA14 (JTCK/SWCLK)","I/O","DEBUG_JTCK-SWCLK",""
"50","PA15 (JTDI)","I/O","",""
"51","PC10","I/O","SDMMC1_D2",""
"52","PC11","I/O","SDMMC1_D3",""
"53","PC12","I/O","SDMMC1_CK",""
"54","PD2","I/O","SDMMC1_CMD",""
"55","PB3 (JTDO/TRACESWO)","I/O","USART1_RTS",""
"56","PB4 (NJTRST)","I/O","USART1_CTS",""
"57","PB5","I/O","",""
"58","PB6","I/O","USART1_TX",""
"59","PB7","I/O","",""
"60","PH3-BOOT0","I/O","",""
"61","PB8","I/O","",""
"62","PB9","I/O","",""
"63","VSS","Power","",""
"64","VDD","Power","",""
